Time,Jogador,Rating,Colocação
Fluminense,Luccas Claro,6.86,201
Atlético Goianiense,Wanderson,6.86,202
Red Bull Bragantino,Natan,6.86,203
Fluminense,Fred,6.86,204
Athletico,Vitinho,6.86,205
Internacional,Rodrigo Lindoso,6.86,206
Fluminense,Calegari,6.86,207
Juventude,Paulo Henrique,6.86,208
Atlético Mineiro,Eduardo Sasha,6.85,209
Santos,Marcos Guilherme,6.85,210
Bahia,Jonas,6.85,211
Corinthians,Giuliano,6.85,212
Palmeiras,Deyverson,6.85,213
Palmeiras,Zé Rafael,6.85,214
Grêmio,Pedro Geromel,6.85,215
Ceará,Gabriel Lacerda,6.85,216
Palmeiras,Willian,6.85,217
Fluminense,Jhon Arias,6.85,218
São Paulo,Rodrigo Nestor,6.85,219
Cuiabá,Uendel,6.85,220
Bahia,Danielzinho,6.80,261
Fluminense,Lucca,6.80,262
São Paulo,Igor Gomes,6.80,263
América Mineiro,Patric,6.80,264
Flamengo,Thiago Maia,6.80,265
Cuiabá,Anderson Conceição,6.80,266
Atlético Mineiro,Igor Rabello,6.80,267
Santos,Lucas Braga,6.80,268
Cuiabá,Clayson,6.80,269
Corinthians,Gabriel Pereira,6.80,270
Atlético Mineiro,Dylan Borrero,6.79,271
Internacional,Marcelo Lomba,6.79,272
Juventude,Juan Quintero,6.79,273
Juventude,Chico,6.79,274
São Paulo,Gabriel Sara,6.79,275
Ceará,Bruno Pacheco,6.79,276
Palmeiras,Victor Luis,6.79,277
Fluminense,John Kennedy,6.78,278
Chapecoense,Mike,6.78,279
Ceará,Rick,6.78,280
Flamengo,João Gomes,6.74,321
Atlético Goianiense,Zé Roberto,6.73,322
Atlético Goianiense,Willian Maranhão,6.73,323
Athletico,Guilherme Bissoli,6.73,324
Grêmio,Victor Bobsin,6.73,325
Sport Recife,Thiago Lopes,6.73,326
Atlético Mineiro,Hyoran,6.73,327
Palmeiras,Danilo,6.73,328
São Paulo,Diego Costa,6.73,329
Ceará,Stiven Mendoza,6.72,330
Internacional,Maurício,6.72,331
Santos,Wagner Leonardo,6.72,332
Corinthians,Du Queiroz,6.72,333
Ceará,Marlon,6.72,334
Athletico,Renato Kayzer,6.72,335
Chapecoense,Anselmo Ramon,6.72,336
Fluminense,Nenê,6.71,337
Red Bull Bragantino,Bruno Praxedes,6.71,338
Juventude,Ricardinho,6.71,339
